person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name
16347,b35_45,US,High_school,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Female,Quick and Easy Mexican Chicken
16348,b35_45,US,BA,['Diabetes'],['Eat more protein'],Medium,Neither_healthy_no_unhealthy,refuse_to_disc,Chipotle Shrimp Tacos
16349,b45_55,US,BA,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Smoky Grilled Pork Chops
16350,bover_55,US,High_school,['No dietary restrictions'],['No goals'],Medium,Healthy,Female,Broiled Tilapia Parmesan
16351,b35_45,US,BA,['No dietary restrictions'],['No goals'],High,Healthy,Male,Foolproof Rib Roast
16352,b25_35,US,High_school,['No dietary restrictions'],"['Eat more fruit', ' Eat more vegetables', ' Gain weight']",Medium,Unhealthy,Male,Herb Roasted Pork
16353,b35_45,US,MSc,['Diabetes'],['Eat more protein'],High,Very_Healthy,Female,Pico de Gallo Chicken Quesadillas
16354,b25_35,US,High_school,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit']",Medium,Healthy,Male,Peppered Shrimp Alfredo
16355,b35_45,US,BA,['No dietary restrictions'],"['Eat more fruit', ' Eat more vegetables', ' Gain weight']",High,Healthy,Female,Chicken Souvlaki Gyro Style
16356,b45_55,US,MSc,['No dietary restrictions'],['Lose weight'],Low,Unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta
16357,b35_45,US,MSc,['No dietary restrictions'],"['Eat more vegetables', ' Lose weight']",High,Very_Healthy,Male,Easy Chicken Satay
16358,b25_35,VI,MSc,['No dietary restrictions'],['Eat more fruit'],Medium,Healthy,Male,Italian Sausage' Peppers' and Onions
16359,b25_35,US,High_school,['No dietary restrictions'],['No goals'],High,Unhealthy,Female,Beef Bulgogi
16360,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Female,Shrimp and Mushroom Linguini with Creamy Cheese Herb Sauce
16361,b35_45,US,BA,['No dietary restrictions'],['No goals'],Low,Unhealthy,Male,G's Flank Steak Marinade
16362,b35_45,US,BA,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Tomato Chicken Parmesan
16363,b25_35,US,High_school,['No dietary restrictions'],['Eat less sugar'],Low,Unhealthy,Male,Smoky Grilled Pork Chops
16364,b35_45,US,BA,"['Gluten free', ' Allergies']","['Eat more protein', ' Eat more vegetables', ' Lose weight']",High,Healthy,Female,Tasty Lentil Tacos
16365,b25_35,US,High_school,['Gluten free'],"['Eat less sugar', ' Eat more protein', ' Eat more vegetables']",Medium,Healthy,Male,California Grilled Veggie Sandwich
16366,bover_55,FI,Less_high_school,['Gluten free'],['Eat less salt'],Very_Low,Very_unhealthy,Male,Pizza On The Grill I
16367,b35_45,US,BA,['Diabetes'],['Eat less salt'],High,Healthy,Female,Pizza On The Grill I
16368,b35_45,US,Doctorate,['No dietary restrictions'],['No goals'],Very_Low,Neither_healthy_no_unhealthy,Male,Spinach Tomato Tortellini
16369,b25_35,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",Medium,Healthy,Female,Authentic Louisiana Red Beans and Rice
16370,b45_55,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,Honey Garlic Ribs
16371,b25_35,US,BA,['Vegetarian'],['Eat more fruit'],High,Healthy,Male,Spinach Cheese Manicotti
16372,b35_45,US,BA,['Vegetarian'],"['Eat less salt', ' Eat less sugar', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",Very High,Healthy,Female,Farmer's Market Vegetarian Quesadillas
16373,b25_35,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Male,Charley's Slow Cooker Mexican Style Meat
16374,b25_35,US,MSc,['Gluten free'],['Eat more fruit'],Medium,Unhealthy,Male,Slow Cooker Cilantro Lime Chicken
16375,b35_45,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more vegetables']",Low,Healthy,Female,Slow Cooker Cilantro Lime Chicken
16376,b45_55,US,High_school,['Gluten free'],"['Eat more fruit', ' Eat more protein', ' Eat more vegetables']",High,Healthy,Female,Quick Chicken Piccata
16377,b25_35,US,BA,['No dietary restrictions'],['Eat less sugar'],High,Neither_healthy_no_unhealthy,Male,G's Flank Steak Marinade
16378,b25_35,US,MSc,['No dietary restrictions'],['Eat less sugar'],Medium,Healthy,Male,G's Flank Steak Marinade
16379,b25_35,US,MSc,"['Halal', ' Vegetarian']","['Eat less salt', ' Eat more fruit', ' Eat more vegetables']",Medium,Healthy,Male,Lamb Chops with Balsamic Reduction
16380,b35_45,US,MSc,['Allergies'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Gain weight', ' Lose weight']",Medium,Healthy,Male,Cajun Chicken Pasta
16381,b35_45,US,High_school,['Lactose intolerance'],['Lose weight'],Medium,Very_unhealthy,Female,Spinach and Feta Turkey Burgers
16382,b35_45,US,BA,['No dietary restrictions'],"['Eat less salt', ' Gain weight']",Medium,Unhealthy,Female,Kathy's Roast and Vegetables
16383,b45_55,US,MSc,"['Lactose intolerance', ' Vegetarian']","['No goals', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables']",High,Healthy,Male,Pizza On The Grill I
16384,b45_55,US,High_school,"['Gluten free', ' Lactose intolerance']",['No goals'],Low,Very_unhealthy,Female,Boiled Chicken
16385,b35_45,US,MSc,"['No dietary restrictions', ' Gluten free', ' Allergies']","['Eat more fruit', ' Eat more protein', ' Eat more vegetables']",Medium,Healthy,Male,Spicy Rapid Roast Chicken
